CYP2D6 Diplotype,Activity Score,Coded Diplotype/Phenotype Summary,EHR Priority Notation
*36+*10x2/*121,,CYP2D6 Indeterminate,none
*36+*10x2/*122,,CYP2D6 Indeterminate,none
*36+*10x2/*123,,CYP2D6 Indeterminate,none
*36+*10x2/*124,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10x2/*125,,CYP2D6 Indeterminate,none
*36+*10x2/*126,,CYP2D6 Indeterminate,none
*36+*10x2/*127,,CYP2D6 Indeterminate,none
*36+*10x2/*128,,CYP2D6 Indeterminate,none
*36+*10x2/*129,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10x2/*130,,CYP2D6 Indeterminate,none
