CYP2D6 Diplotype,Activity Score,Coded Diplotype/Phenotype Summary,EHR Priority Notation
*38/*59,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*38/*60,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*38/*61,,CYP2D6 Indeterminate,none
*38/*62,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*38/*63,,CYP2D6 Indeterminate,none
*38/*64,,CYP2D6 Indeterminate,none
*38/*65,,CYP2D6 Indeterminate,none
*38/*68,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*38/*68+*2,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*38/*68+*4,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*38/*69,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*38/*70,,CYP2D6 Indeterminate,none
*38/*71,,CYP2D6 Indeterminate,none
*38/*72,,CYP2D6 Indeterminate,none
*38/*73,,CYP2D6 Indeterminate,none
*38/*74,,CYP2D6 Indeterminate,none
*38/*75,,CYP2D6 Indeterminate,none
*38/*81,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*38/*82,,CYP2D6 Indeterminate,none
*38/*83,,CYP2D6 Indeterminate,none
*38/*84,,CYP2D6 Indeterminate,none
*38/*85,,CYP2D6 Indeterminate,none
*38/*86,,CYP2D6 Indeterminate,none
*38/*87,,CYP2D6 Indeterminate,none
*38/*88,,CYP2D6 Indeterminate,none
*38/*89,,CYP2D6 Indeterminate,none
*38/*90,,CYP2D6 Indeterminate,none
*38/*91,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*38/*92,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*38/*93,,CYP2D6 Indeterminate,none
*38/*94,,CYP2D6 Indeterminate,none
*38/*95,,CYP2D6 Indeterminate,none
