Frequencies of CYP4F2 alleles in biogeographical groups,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
CYP4F2 allele,African American/Afro-Caribbean,American,Central/South Asian,East Asian,European,Latino,Near Eastern,Sub-Saharan African
*1,0.9237665,0.5892313,0.42774868,0.68352926,0.56578875,0.5747943,0.43842018,0.6682824
*2,,,0.1694,0.084,0.15959753,0.1669,0.2107,0.2329
*3,0.07623351,0.4107687,0.40285128,0.23247077,0.27461374,0.25830573,0.35087985,0.09881758
